SummitCode,SummitName,Lat,Lon,AltM,DEM_AltM,abs_diff,dem_source
JA/SO-073,Oohira,35.0672,137.8553,679.0,677.9,1.1000000000000227,5a
JA/SO-074,Kyoudukayama,34.8819,138.078,670.0,668.87,1.1299999999999955,5a
JA/SO-075,Takatsukayama,34.9781,137.94591,660.0,654.61,5.389999999999986,5a
JA/SO-076,Shinmeiyama,34.9472,137.7466,658.0,656.08,1.919999999999959,5a
JA/SO-077,Komohariyama,34.9157,137.97771,629.0,611.05,17.950000000000045,5a
JA/SO-078,Tenshiyama (Tensyuyama),34.9279,138.96449,608.0,607.71,0.2899999999999636,5a
JA/SO-079,Basarayama,34.7378,138.8593,608.0,606.76,1.240000000000009,5a
JA/SO-080,Near Oohirayama,35.1446,138.58929,598.0,594.9,3.1000000000000227,5a
JA/SO-081,Dakeyama,34.8577,138.0679,585.0,584.27,0.7300000000000182,5a
JA/SO-082,Oomuroyama,34.9031,139.0946,580.0,579.65,0.35000000000002274,5a
JA/SO-083,JA/SO-083,34.8973,137.92081,580.0,570.52,9.480000000000018,5a
JA/SO-084,Kannonyama,34.9,137.74451,575.0,572.99,2.009999999999991,5a
JA/SO-085,JA/SO-085,35.0047,138.2583,570.0,571.98,1.9800000000000182,5a
JA/SO-086,Takayama,34.8938,138.1299,569.0,567.38,1.6200000000000045,5a
JA/SO-087,Shiratoriyama,35.2077,138.5331,567.0,567.17,0.16999999999995907,5a
JA/SO-088,Uchiboson5,35.1614,138.5538,564.0,554.53,9.470000000000027,5a
JA/SO-089,Tonmakuyama,34.8496,137.5872,563.0,563.07,0.07000000000005002,5a
JA/SO-090,Dairabou,34.9922,138.27251,561.0,560.3,0.7000000000000455,5a
JA/SO-091,JA/SO-091,34.927,137.85831,552.0,542.2,9.799999999999955,5a
JA/SO-092,Mabuishi,34.7035,138.85519,545.0,543.15,1.8500000000000227,5a
JA/SO-093,Daisyouyama,34.7966,138.81709,545.0,544.67,0.3300000000000409,5a
JA/SO-094,JA/SO-094,35.0598,137.74541,544.0,539.24,4.759999999999991,5a
JA/SO-095,Kurasawayama,34.7134,138.7832,520.0,518.74,1.259999999999991,5a
JA/SO-096,Sengenyama,34.8813,137.6241,519.0,516.22,2.7799999999999727,5a
JA/SO-097,Takatoriyama,34.707,138.75191,519.0,517.58,1.419999999999959,5a
JA/SO-098,Oowadamura,34.8642,138.0052,508.0,507.29,0.7099999999999795,5a
JA/SO-099,Takaneyama,35.093,138.5034,504.0,502.18,1.8199999999999932,5a
JA/SO-100,Takakusayama,34.9053,138.31931,503.0,502.56,0.4399999999999977,5a
JA/SO-101,Chibasan,34.8924,138.15891,496.0,479.18,16.819999999999993,5a
JA/SO-102,Tadamasawayama,35.0173,138.298,494.0,493.23,0.7699999999999818,5a
JA/SO-103,Uzutanimura,34.9532,138.30099,482.0,480.83,1.170000000000016,5a
JA/SO-104,Manganhou,34.9227,138.3262,470.0,468.17,1.829999999999984,5a
JA/SO-105,Mitakeyama,34.8528,137.69099,467.0,466.7,0.30000000000001137,5a
JA/SO-106,Hiraoyama,34.8268,137.49789,464.0,462.36,1.6399999999999864,5a
JA/SO-107,Yatsuyama,34.7457,138.9592,459.0,458.92,0.07999999999998408,5a
JA/SO-108,Katsuragiyama,35.0118,138.9203,452.0,451.39,0.6100000000000136,5a
JA/SO-109,Near Kawashimo,34.9469,137.87289,450.0,440.03,9.970000000000027,5a
JA/SO-110,Hatorimura,35.0062,138.3387,435.0,434.71,0.29000000000002046,5a
JA/SO-111,Jyougamine,34.8228,137.6087,433.0,426.58,6.420000000000016,5a
JA/SO-112,Kiriyama,34.8777,137.69141,430.0,427.92,2.079999999999984,5a
JA/SO-113,Kanayama,34.8474,137.54691,424.0,423.2,0.8000000000000114,5a
JA/SO-114,Eboshigatayama,34.9114,138.2128,393.0,390.58,2.420000000000016,5a
JA/SO-115,Washizusan,35.0594,138.89391,392.0,393.38,1.3799999999999955,5a
JA/SO-116,Bontenyama,34.962,138.34081,370.0,374.86,4.860000000000014,5a
JA/SO-117,Ryugashisan,34.8495,137.6548,360.0,359.21,0.7900000000000205,5a
JA/SO-118,Takanesan,34.7027,138.9552,344.0,341.44,2.5600000000000023,5a
JA/SO-119,JA/SO-119,34.6351,138.838,309.0,304.23,4.769999999999982,5a
JA/SO-120,Udoyama,34.9731,138.4697,307.0,306.47,0.5299999999999727,5a
JA/SO-121,Imayama,34.819,138.75909,303.0,301.92,1.079999999999984,5a
JA/SO-122,Oozutsumiyama,35.0361,138.9122,273.0,273.41,0.410000000000025,5a
JA/SO-123,Oosawadake,35.4494,138.1203,2820.0,2805.6,14.400000000000091,5a
JA/SO-124,Near Kakamoryama,35.3472,138.06129,2430.0,2429.25,0.75,5a
JA/SO-125,JA/SO-125,35.3837,138.1745,2423.0,2422.75,0.25,5a
JA/SO-126,Aonagiyama,35.3698,138.2287,2406.0,2406.18,0.1799999999998363,5a
JA/SO-127,Gachiyama,35.2849,138.04269,2149.0,2148.14,0.8600000000001273,5a
JA/SO-128,Kudarijyumai,35.2435,138.3858,1732.0,1731.47,0.5299999999999727,5a
JA/SO-129,Near Hagetouge,35.2407,138.21741,1712.0,1719.91,7.910000000000082,5a
JA/SO-130,Torimoriyama,35.4205,138.20711,1571.0,1570.11,0.8900000000001,5a
JA/SO-131,Hachonodan,35.1374,138.0573,1562.0,1560.95,1.0499999999999545,5a
JA/SO-132,Kyomaruyama,35.096,137.9659,1469.0,1469.23,0.2300000000000182,5a
JA/SO-133,Jyokoujiyama,35.1581,137.9146,1438.0,1437.91,0.08999999999991815,5a
JA/SO-134,Mitsumori,35.1059,137.9425,1436.0,1436.25,0.25,5a
JA/SO-135,Sawaguchiyama,35.1564,138.1075,1425.0,1424.67,0.32999999999992724,5a
JA/SO-136,Near Oofudayama,35.1051,138.05901,1380.0,1378.57,1.4300000000000637,5a
JA/SO-137,Aonagi,35.2017,137.9061,1169.0,1169.17,0.17000000000007276,5a
JA/SO-138,JA/SO-138,35.0918,138.28979,1036.0,1028.47,7.529999999999973,5a
